keywords,label,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08
3D printing,term,0,0,1,0,0,1,0,1,0,8,0,9,0,0,2,0,2,0,5,1,1,4,1,0,3,1,0,0,3,0,2,1,0,0,11,1,2,1,1,0,2,0,1,0,2,0,0,1,0,1,0,7,0,2,0,4,4,0,0,1,12,2,3,3,1,0,0,0,0,0,1,0,0,2,2,2,2,0,4,0
5G,term,2,0,0,0,0,10,0,0,9,11,10,1,3,4,18,1,6,16,10,0,6,37,4,7,1,14,39,4,8,10,25,16,19,11,25,6,13,19,5,15,15,11,11,6,8,8,5,0,2,6,15,3,12,12,7,3,9,8,2,8,4,6,3,7,10,5,36,2,15,15,11,2,2,7,4,3,11,1,4,0
ABL,com,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,2,0,0,0,0,1,0,0,0,0,1,7,0,0,0,0,0,0,7,0,3,0,0,0,11,10,7,6,0,0,1,1,4,6,0,7,2,2,2,2,5,2,3,0,3,0,0,9,0,4,0,3,4,0,0
ABS,com,7,2,2,2,0,0,0,0,0,17,2,7,0,0,0,0,0,6,1,8,6,5,0,0,0,2,0,0,2,6,1,9,4,3,0,1,0,3,0,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
AEHF,satellite,0,0,0,0,0,0,1,12,0,0,0,0,0,2,7,2,5,3,0,15,0,2,7,3,1,8,0,8,0,2,0,3,0,0,5,0,0,6,12,0,0,0,0,0,12,2,2,0,0,0,0,1,0,0,1,0,2,0,0,0,0,0,1,0,5,5,0,0,0,1,0,0,0,0,0,1,1,2,0,0
AFRL,org,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,2,0,0,0,0,2,4,0,1,0,2,0,2,1,0,1,10,7,0,3,5,10,1,1,14,0,9,0,4,0,11,5,6,5,5,2,2,5,3,3,15,8,3,11,5,5,1,15,0,6,3,1,7,1,0,0,11,6,1,0
AI,term,0,0,0,0,0,0,3,10,0,0,0,11,0,2,6,6,18,10,21,3,2,1,4,0,0,3,2,11,1,5,14,19,0,1,0,0,0,7,1,0,0,0,0,0,0,1,0,0,0,3,30,7,1,1,0,0,3,5,6,2,4,1,0,4,5,0,4,1,1,5,7,2,9,23,1,2,18,11,28,1
ASAT,term,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,13,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,2,0,0,0,4,1,3,0,17,4,2,3,5,16,11,7,6,11,7,1,3,4,0,0,0,1,0,1,12,0
ASI,org,1,0,0,3,0,4,0,2,0,0,0,5,0,0,0,0,0,1,4,0,1,1,6,0,0,0,3,0,0,0,11,0,0,1,1,0,0,0,0,0,0,0,0,0,3,0,0,3,0,8,6,0,0,12,0,1,0,6,4,1,4,6,1,1,1,0,0,2,3,0,0,0,0,1,0,2,0,0,0,0
AST,org,0,6,3,4,2,1,6,0,0,7,0,0,0,9,0,5,0,6,1,0,5,2,5,0,0,0,0,0,8,2,3,13,0,0,1,1,0,7,0,8,2,1,0,2,0,0,0,3,0,2,0,1,1,2,1,0,0,0,0,0,0,1,0,0,2,11,3,2,6,8,1,2,1,0,0,1,2,2,0,0
AST SpaceMobile,com,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,5,2,6,2,5,1,0,0,0,0,0,3,10,0,27,3,9,17,3,1,6,17,4,2,10,8,6,11,0,0
AWS,com,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,3,0,0,0,0,19,0,0,4,0,0,4,1,0,0,0,0,0,11,2,8,0,0,0,0,0,6,9,2,5,6,0,25,0,5,1,0,0,0,0,2,4,0,0,1,1,0,1,0,0,3,0,1,0,0,0,0
Aerojet,com,1,4,1,3,4,0,0,3,0,0,0,3,0,2,1,0,4,19,7,1,17,10,0,0,0,0,0,7,1,0,4,0,8,9,0,0,0,0,10,0,3,0,0,0,0,0,1,5,5,12,10,0,0,0,0,2,3,1,0,0,6,1,0,3,0,0,2,7,0,1,0,14,1,0,0,5,2,0,4,0
Aerojet Rocketdyne,com,2,15,7,14,13,7,1,15,2,5,3,8,2,21,11,1,9,13,9,6,7,12,0,1,1,0,1,6,3,1,8,4,6,12,2,1,3,1,12,1,2,2,0,2,2,1,1,15,6,8,3,2,1,1,1,4,3,2,0,0,3,9,1,6,1,0,4,4,1,2,1,3,6,2,0,4,1,1,9,0
Aerospace Corp.,com,0,0,0,1,1,0,0,1,1,0,0,0,1,1,0,2,0,2,1,1,0,0,0,2,0,3,5,2,1,4,3,16,2,0,4,2,4,0,2,0,0,2,2,0,0,6,2,8,4,2,0,2,1,3,1,4,0,4,3,2,2,2,0,6,2,0,0,1,3,0,1,3,2,0,0,3,0,1,0,0
Africa,loc,14,7,5,3,8,1,4,3,2,5,6,6,5,2,9,8,8,3,2,6,9,9,4,2,1,11,1,4,17,4,6,10,3,5,2,4,4,1,3,2,4,1,0,4,5,2,3,3,2,8,3,4,1,7,5,4,1,0,1,3,2,3,1,7,9,3,14,5,6,1,3,7,1,7,0,1,15,3,1,0
Air Force,org,54,35,87,63,105,97,44,54,132,50,91,72,136,197,202,212,135,143,51,118,154,179,51,132,121,96,237,261,244,215,145,113,216,153,118,151,170,96,83,62,94,94,68,97,55,47,41,42,40,44,28,34,72,38,11,57,20,44,6,28,28,27,28,14,23,25,15,20,24,19,16,18,27,13,31,32,28,31,45,0
Air Force Research Laboratory,org,0,0,0,0,0,1,0,0,1,0,0,2,0,4,0,0,1,0,3,0,3,2,0,1,3,3,2,2,2,2,0,1,1,3,0,0,2,1,2,2,1,3,3,6,3,2,1,1,4,5,7,1,5,5,2,8,6,7,6,4,7,5,4,6,3,2,3,2,2,5,3,3,6,4,0,2,6,5,1,0
Air Force Space Command,org,2,0,4,6,6,4,3,5,4,1,7,10,19,4,20,18,4,12,3,10,11,3,19,15,5,15,8,7,8,8,6,3,10,8,13,5,9,6,6,3,1,3,2,0,1,0,1,1,3,3,0,0,2,2,1,2,1,1,0,0,0,2,0,2,1,2,1,0,1,0,0,0,2,0,0,1,0,0,0,0
Air Force Space and Missile Systems Center,org,1,2,3,1,0,1,1,0,1,0,3,3,2,8,3,7,11,8,3,11,9,6,8,7,3,7,8,19,15,10,3,11,11,10,4,7,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Airbus,com,0,8,22,5,3,20,8,4,21,35,4,10,6,2,5,11,6,12,23,15,18,18,16,2,2,20,19,10,26,3,30,9,16,3,9,5,10,12,15,7,13,0,42,23,10,20,17,19,8,4,20,14,3,12,2,13,7,7,2,15,23,4,11,8,1,2,17,2,4,14,7,15,17,1,14,6,15,2,13,0
Airbus Defence and Space,com,4,8,3,3,4,9,3,6,5,14,3,0,3,1,1,3,4,4,0,6,7,4,11,7,3,8,9,6,9,2,5,5,9,3,5,4,6,15,4,2,2,0,11,11,3,3,5,0,3,3,3,4,2,4,3,3,3,2,1,8,1,0,0,5,0,2,0,1,2,1,3,1,2,2,2,3,3,3,5,0
